pl_hostname,pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_bmassj,pl_radj,pl_dens,gaia_dist,st_teff,st_mass,st_rad,pl_eqt,pl_massj,pl_masse,pl_rade,pl_rads,pl_ratdor,pl_disc,pl_disc_reflink,pl_facility,pl_telescope,pl_instrument,pl_mnum,pl_pelink,pl_edelink,st_sp,st_logg,st_lum,st_metfe,st_metratio,st_age
11 Com,11 Com b,Radial Velocity,1,326.03,0.32,-0.32,0,19.4,,,93.37,4742,2.7,19,,,,,,,2007,<a refstr=LIU_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...672..553L/abstract target=ref> Liu et al. 2008 </a>,Xinglong Station,2.16 m Telescope,Coude Echelle Spectrograph,0,http://exoplanet.eu/catalog/11_com_b/,http://exoplanets.org/detail/11_Com_b,5,2.31,2.243,-0.35,[Fe/H],
11 UMi,11 UMi b,Radial Velocity,1,516.21997,3.2,-3.2,0,14.74,,,125.72,4213,2.78,29.79,,,,,,,2009,<a refstr=DOLLINGER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...505.1311D/abstract target=ref> Dollinger et al. 2009 </a>,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,0,http://exoplanet.eu/catalog/11_umi_b/,http://exoplanets.org/detail/11_UMi_b,5.4,1.93,,-0.02,[Fe/H],
14 And,14 And b,Radial Velocity,1,185.84,0.23,-0.23,0,4.8,,,75.59,4813,2.2,11,,,,,,,2008,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60.1317S/abstract target=ref> Sato et al. 2008 </a>,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,0,http://exoplanet.eu/catalog/14_and_b/,http://exoplanets.org/detail/14_And_b,4.8,2.63,1.763,-0.24,[Fe/H],
14 Her,14 Her b,Radial Velocity,1,1773.40002,2.5,-2.5,0,4.66,,,17.94,5338,0.9,0.93,,,,,,,2002,<a refstr=BUTLER_ET_AL__2003 href=https://ui.adsabs.harvard.edu/abs/2003ApJ...582..455B/abstract target=ref> Butler et al. 2003 </a>,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,0,http://exoplanet.eu/catalog/14_her_b/,http://exoplanets.org/detail/14_Her_b,5,4.45,,0.41,[Fe/H],
16 Cyg B,16 Cyg B b,Radial Velocity,1,798.5,1,-1,0,1.78,,,21.15,5750,1.08,1.13,,,,,,,1996,<a refstr=COCHRAN_ET_AL__1997 href=https://ui.adsabs.harvard.edu/abs/1997ApJ...483..457C/abstract target=ref> Cochran et al. 1997 </a>,Multiple Observatories,Multiple Telescopes,Multiple Instruments,0,http://exoplanet.eu/catalog/16_cyg_b_b/,http://exoplanets.org/detail/16_Cyg_B_b,4.25,4.36,,0.06,[Fe/H],
18 Del,18 Del b,Radial Velocity,1,993.3,3.2,-3.2,0,10.3,,,76.38,4979,2.3,8.5,,,,,,,2008,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60..539S/abstract target=ref> Sato et al. 2008 </a>,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,0,http://exoplanet.eu/catalog/18_del_b/,http://exoplanets.org/detail/18_Del_b,4.6,2.82,1.602,-0.052,[Fe/H],
1RXS J160929.1-210524,1RXS J160929.1-210524 b,Imaging,1,,,,,8,,,139.67,4060,0.85,,1700,8,3000,,,,2008,<a refstr=LAFRENIERE_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...689L.153L/abstract target=ref> Lafreniere et al. 2008 </a>,Gemini Observatory,8.19 m Gemini North Telescope,NIRI Camera,0,http://exoplanet.eu/catalog/1rxs_1609_b/,,5.7,,-0.37,,,0.005
24 Boo,24 Boo b,Radial Velocity,1,30.3506,0.0078,-0.0077,0,0.91,,,96.25,4893,0.99,10.64,,,,,,,2018,<a refstr=TAKARADA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018arXiv180404008T/abstract target=ref>Takarada et al. 2018</a>,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,0,http://exoplanet.eu/catalog/24_boo_b/,,4.3,2.42,1.774,-0.77,[Fe/H],6.92
24 Sex,24 Sex b,Radial Velocity,2,452.8,2.1,-4.5,0,1.99,,,72.21,5098,1.54,4.9,,,,,,,2010,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,0,http://exoplanet.eu/catalog/24_sex_b/,http://exoplanets.org/detail/24_Sex_b,5,3.5,1.164,-0.03,[Fe/H],2.7
24 Sex,24 Sex c,Radial Velocity,2,883,32.4,-13.8,0,0.86,,,72.21,5098,1.54,4.9,,,,,,,2010,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,0,http://exoplanet.eu/catalog/24_sex_c/,http://exoplanets.org/detail/24_Sex_c,5,3.5,1.164,-0.03,[Fe/H],2.7
