pl_hostname,pl_name,pl_discmethod,pl_pnum,pl_orbper,gaia_dist,st_teff,st_mass,st_rad,pl_eqt,pl_masse,pl_rade,pl_ratdor,pl_disc,pl_telescope,pl_pelink,pl_edelink,st_spstr,st_logg,st_lum,st_dens,st_metfe,st_metratio,st_age
11 Com,11 Com b,Radial Velocity,1,326.03,93.37,4742,2.7,19,,,,,2007,2.16 m Telescope,http://exoplanet.eu/catalog/11_com_b/,http://exoplanets.org/detail/11_Com_b,K0 III,2.31,2.243,,-0.35,[Fe/H],
11 UMi,11 UMi b,Radial Velocity,1,516.21997,125.72,4213,2.78,29.79,,,,,2009,2.0 m Alfred Jensch Telescope,http://exoplanet.eu/catalog/11_umi_b/,http://exoplanets.org/detail/11_UMi_b,K4 III,1.93,,,-0.02,[Fe/H],
14 And,14 And b,Radial Velocity,1,185.84,75.59,4813,2.2,11,,,,,2008,1.88 m Telescope,http://exoplanet.eu/catalog/14_and_b/,http://exoplanets.org/detail/14_And_b,G8 III,2.63,1.763,,-0.24,[Fe/H],
14 Her,14 Her b,Radial Velocity,1,1773.40002,17.94,5338,0.9,0.93,,,,,2002,10 m Keck I Telescope,http://exoplanet.eu/catalog/14_her_b/,http://exoplanets.org/detail/14_Her_b,K0 V,4.45,,,0.41,[Fe/H],
16 Cyg B,16 Cyg B b,Radial Velocity,1,798.5,21.15,5750,1.08,1.13,,,,,1996,Multiple Telescopes,http://exoplanet.eu/catalog/16_cyg_b_b/,http://exoplanets.org/detail/16_Cyg_B_b,G2.5 V,4.36,,,0.06,[Fe/H],
18 Del,18 Del b,Radial Velocity,1,993.3,76.38,4979,2.3,8.5,,,,,2008,1.88 m Telescope,http://exoplanet.eu/catalog/18_del_b/,http://exoplanets.org/detail/18_Del_b,G6 III,2.82,1.602,,-0.052,[Fe/H],
1RXS J160929.1-210524,1RXS J160929.1-210524 b,Imaging,1,,139.67,4060,0.85,,1700,3000,,,2008,8.19 m Gemini North Telescope,http://exoplanet.eu/catalog/1rxs_1609_b/,,K7 V,,-0.37,,,,0.005
24 Boo,24 Boo b,Radial Velocity,1,30.3506,96.25,4893,0.99,10.64,,,,,2018,1.88 m Telescope,http://exoplanet.eu/catalog/24_boo_b/,,G3 IV,2.42,1.774,,-0.77,[Fe/H],6.92
24 Sex,24 Sex b,Radial Velocity,2,452.8,72.21,5098,1.54,4.9,,,,,2010,3.0 m C. Donald Shane Telescope,http://exoplanet.eu/catalog/24_sex_b/,http://exoplanets.org/detail/24_Sex_b,K0 IV,3.5,1.164,,-0.03,[Fe/H],2.7
24 Sex,24 Sex c,Radial Velocity,2,883,72.21,5098,1.54,4.9,,,,,2010,3.0 m C. Donald Shane Telescope,http://exoplanet.eu/catalog/24_sex_c/,http://exoplanets.org/detail/24_Sex_c,K0 IV,3.5,1.164,,-0.03,[Fe/H],2.7
2MASS J01225093-2439505,2MASS J01225093-2439505 b,Imaging,1,,33.86,3530,0.4,,,7786.5,,,2013,10 m Keck II Telescope,http://exoplanet.eu/catalog/2m_0122-24_b/,,M3.5 V,,-1.72,,,,0.12
2MASS J02192210-3925225,2MASS J02192210-3925225 b,Imaging,1,,40.09,3064,0.11,0.28,,4417.837,16.141,,2015,1.5 m CTIO Telescope,http://exoplanet.eu/catalog/2m_0219-39_b/,,M6,4.59,-2.23,,,,0.035
2MASS J04414489+2301513,2MASS J04414489+2301513 b,Imaging,1,,120.42,,0.02,,,2383.6,,,2010,2.4 m Hubble Space Telescope,http://exoplanet.eu/catalog/2m_0441%2B23_b/,,M8.5,,,,,,0.001
2MASS J12073346-3932539,2MASS J12073346-3932539 b,Imaging,1,,64.42,,0.02,,1150,1271,,,2004,8.2 m ESO VLT UT4 Yepun Telescope,http://exoplanet.eu/catalog/2m1207_b/,,M8,,,,,,0.008
2MASS J19383260+4603591,2MASS J19383260+4603591 b,Eclipse Timing Variations,1,416,400.77,,0.48,,,603.877,,,2015,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/2m_1938%2B46_b/,,,,,,,,
